Date,Close,High,Low,Open,Volume,Year,Month,Day,IsYearStart,IsYearEnd,Returns,Returns (%),MA20,MA50,Volatility,lag1,lag2
2010-03-16,6.725198268890381,6.741078629422813,6.66707029261863,6.717108470152804,446908000,2010,March,Tuesday,0,0,0.0027253343836626254,0.27253343836626254,6.34626989364624,6.201065874099731,0.012641840968103665,6.7069196701049805,6.789617538452148
2010-03-17,6.715308666229248,6.7851220645390145,6.68984032951547,6.7386795446173045,450956800,2010,March,Wednesday,0,0,-0.0014705295317285483,-0.14705295317285483,6.378584885597229,6.20712441444397,0.012552411528357354,6.725198268890381,6.7069196701049805
2010-03-18,6.731188774108887,6.741675665301898,6.670064048158868,6.714708344964639,342109600,2010,March,Thursday,0,0,0.0023647621678952735,0.23647621678952735,6.4111247062683105,6.213278789520263,0.012546178870355312,6.715308666229248,6.725198268890381
2010-03-19,6.659276962280273,6.748866385428049,6.62871440184061,6.735383126438058,559445600,2010,March,Friday,0,0,-0.010683374696787262,-1.0683374696787262,6.441956520080566,6.220038404464722,0.012797176333107636,6.731188774108887,6.715308666229248
2010-03-22,6.734185218811035,6.771639430762756,6.5963554470415104,6.605943827713761,456419600,2010,March,Monday,0,0,0.011248707172724526,1.1248707172724526,6.4784064292907715,6.228529930114746,0.012590416121767967,6.659276962280273,6.731188774108887
2010-03-23,6.842350482940674,6.8549352310004785,6.7147075814864845,6.760850857607349,602431200,2010,March,Tuesday,0,0,0.01606211599697227,1.606211599697227,6.525298452377319,6.238345785140991,0.011591320420842176,6.734185218811035,6.659276962280273
2010-03-24,6.872616291046143,6.897485760699319,6.8168846120524265,6.820780292898591,597780400,2010,March,Wednesday,0,0,0.004423305731112048,0.44233057311120483,6.568310403823853,6.2498875427246094,0.011322202347057173,6.842350482940674,6.734185218811035
2010-03-25,6.791116714477539,6.920557493009965,6.779131234956361,6.9190589080204346,542284400,2010,March,Thursday,0,0,-0.011858595492197588,-1.1858595492197588,6.605239892005921,6.261231575012207,0.012064391338962834,6.872616291046143,6.842350482940674
2010-03-26,6.918458461761475,6.949919136387301,6.848044989796862,6.8600304659011035,640875200,2010,March,Friday,0,0,0.01875122349354763,1.875122349354763,6.64461133480072,6.273366584777832,0.012310902259637877,6.791116714477539,6.872616291046143
2010-03-29,6.963104248046875,7.007449721558292,6.940033400438365,6.981382504111256,540744400,2010,March,Monday,0,0,0.006453140758473808,0.6453140758473808,6.679668116569519,6.2871256446838375,0.011780402424426852,6.918458461761475,6.791116714477539
2010-03-30,7.066775321960449,7.115615743905433,7.018834210899043,7.089247692767401,527310000,2010,March,Tuesday,0,0,0.014888628723698005,1.4888628723698005,6.720118141174316,6.3050555324554445,0.011872818298047589,6.963104248046875,6.918458461761475
2010-03-31,7.0413055419921875,7.0895466829244205,7.025125949463385,7.055988150166258,430659600,2010,March,Wednesday,0,0,-0.0036041587298116795,-0.36041587298116795,6.758575654029846,6.317016744613648,0.012046047367488074,7.066775321960449,6.963104248046875
2010-04-01,7.07036828994751,7.153065655110879,6.973887630541071,7.113515193566594,603145200,2010,April,Thursday,0,0,0.0041274658203653836,0.41274658203653836,6.796418857574463,6.3315427780151365,0.012050860345450169,7.0413055419921875,7.066775321960449
2010-04-05,7.145878791809082,7.1464780657754545,7.0344162343601315,7.040709011056415,684507600,2010,April,Monday,0,0,0.010679854112964904,1.0679854112964904,6.825692749023437,6.349772310256958,0.009262954179295487,7.07036828994751,7.0413055419921875
2010-04-06,7.177337646484375,7.198311427527553,7.1012314808244925,7.13718710554027,447017200,2010,April,Tuesday,0,0,0.004402377313109884,0.4402377313109884,6.85634479522705,6.374815378189087,0.00922128775979577,7.145878791809082,7.07036828994751
2010-04-07,7.2090983390808105,7.2486496061908285,7.15096958585772,7.177636867486933,628502000,2010,April,Wednesday,0,0,0.004425135636748623,0.4425135636748623,6.882682251930237,6.397305574417114,0.008660243371387842,7.177337646484375,7.145878791809082
2010-04-08,7.1896233558654785,7.237264425207239,7.132393905242788,7.204305164652616,572989200,2010,April,Thursday,0,0,-0.002701445076668918,-0.2701445076668918,6.905319309234619,6.417686414718628,0.008715208365766055,7.2090983390808105,7.177337646484375
2010-04-09,7.244756698608398,7.247753868581477,7.204906179428179,7.233970567159636,334182800,2010,April,Friday,0,0,0.007668460503976293,0.7668460503976293,6.929724264144897,6.438007316589355,0.00876907075444382,7.1896233558654785,7.2090983390808105
2010-04-12,7.259738445281982,7.283109329872252,7.245355870088738,7.257041312383873,333026400,2010,April,Monday,0,0,0.0020679433826207294,0.20679433826207294,6.953230309486389,6.46377552986145,0.008768846884249724,7.244756698608398,7.1896233558654785
2010-04-13,7.2639336585998535,7.275020628699655,7.224382370951486,7.246855548130037,306210800,2010,April,Tuesday,0,0,0.000577873893045977,0.0577873893045977,6.981081008911133,6.493960313796997,0.008007616882444186,7.259738445281982,7.244756698608398
2010-04-14,7.361612796783447,7.365208440668461,7.313073204533308,7.349328080225703,404076400,2010,April,Wednesday,0,0,0.013447140733168661,1.344714073316866,7.012901735305786,6.524498672485351,0.008270444132349892,7.2639336585998535,7.259738445281982
2010-04-15,7.458392143249512,7.461687749475583,7.356217948959215,7.364307746131297,376784800,2010,April,Thursday,0,0,0.013146486936714608,1.3146486936714608,7.050055909156799,6.556295433044434,0.008354576193152368,7.361612796783447,7.2639336585998535
2010-04-16,7.412848472595215,7.524910290851101,7.3274539426619665,7.447904795363183,750545600,2010,April,Friday,0,0,-0.006106365792997059,-0.6106365792997059,7.084138894081116,6.5851618194580075,0.008717755023186266,7.458392143249512,7.361612796783447
2010-04-19,7.402956962585449,7.427526379309801,7.244152664003119,7.401758415423371,566924400,2010,April,Monday,0,0,-0.0013343736953930208,-0.13343736953930208,7.121322894096375,6.618133049011231,0.008066132947296353,7.412848472595215,7.458392143249512
